goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSetOverwrite/jr_cache/ShardedMap/10000-24                 	17083893	        35.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetOverwrite/jr_cache/ShardedMap/100000-24                	14777528	        51.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetEvict/jr_cache/CacheMap-LRU/10000-24   	 5001303	       112.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/CacheMap-LRU/100000-24  	 5846271	        92.35 ns/op	      49 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/CacheMap-LFU/10000-24   	 3081553	       195.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/CacheMap-LFU/100000-24  	 2904122	       211.1 ns/op	      52 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LRU/10000-24    	 3775441	       160.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LRU/100000-24   	 3659073	       151.6 ns/op	      49 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LFU/10000-24    	 2109068	       288.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LFU/100000-24   	 1961984	       289.9 ns/op	      55 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LRU-global/10000-24         	 2037500	       293.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkSetEvict/jr_cache/Sharded-LRU-global/100000-24        	 1925575	       299.2 ns/op	      39 B/op	       1 allocs/op
BenchmarkSetEvict/hashicorp/golang-lru/10000-24                	 5006474	       122.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkSetEvict/hashicorp/golang-lru/100000-24               	 4481139	       117.9 ns/op	      81 B/op	       1 allocs/op
BenchmarkSetEvict/hashicorp/golang-lru-2Q/10000-24             	 1912664	       317.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkSetEvict/hashicorp/golang-lru-2Q/100000-24            	 2000691	       279.5 ns/op	     166 B/op	       2 allocs/op
BenchmarkSetEvict/dgraph-io/ristretto/10000-24                 	 4334470	       136.7 ns/op	      99 B/op	       1 allocs/op
BenchmarkSetEvict/dgraph-io/ristretto/100000-24                	 3773658	       139.7 ns/op	     105 B/op	       1 allocs/op
BenchmarkSetEvict/maypok86/otter/10000-24                      	 3799213	       165.2 ns/op	      51 B/op	       1 allocs/op
BenchmarkSetEvict/maypok86/otter/100000-24                     	 3142292	       185.8 ns/op	      50 B/op	       1 allocs/op
BenchmarkSetEvict/Yiling-J/theine/10000-24                     	 3690958	       163.9 ns/op	      56 B/op	       0 allocs/op
BenchmarkSetEvict/Yiling-J/theine/100000-24                    	 3147594	       218.7 ns/op	      59 B/op	       0 allocs/op
BenchmarkSetEvict/bluele/gcache-LRU/10000-24                   	 3272313	       180.6 ns/op	     136 B/op	       3 allocs/op
BenchmarkSetEvict/bluele/gcache-LRU/100000-24                  	 3156250	       170.4 ns/op	     138 B/op	       4 allocs/op
BenchmarkSetEvict/bluele/gcache-LFU/10000-24                   	 2520224	       232.3 ns/op	      71 B/op	       2 allocs/op
BenchmarkSetEvict/bluele/gcache-LFU/100000-24                  	 1468329	       383.1 ns/op	      81 B/op	       2 allocs/op
BenchmarkSetEvict/allegro/bigcache/10000-24                    	 6396280	        94.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetEvict/allegro/bigcache/100000-24                   	 4586952	       128.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetEvict/coocood/freecache/10000-24                   	 6011023	        97.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSetEvict/coocood/freecache/100000-24                  	 4468374	       132.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipf/jr_cache/CacheMap-LRU/10000-24   	15298238	        39.39 ns/op	       0 B/op	       0 allocs/op
